model,threshold,precision,recall,f1_score,true_negative,false_positive,false_negative,true_positive,false_negative_rate
LOGISTIC REGRESSION WITHOUT L2,0.5,0.4774774774774775,0.023337736679876705,0.04450041981528128,18025,58,2218,53,0.9766622633201233
LOGISTIC REGRESSION WITH L2,0.5,0.4782608695652174,0.019374724790841038,0.03724079559881507,18035,48,2227,44,0.980625275209159
LOGISTIC REGRESSION WITHOUT L2,0.4,0.39826839826839827,0.04051078819903126,0.07354116706634692,17944,139,2179,92,0.9594892118009687
LOGISTIC REGRESSION WITH L2,0.4,0.44324324324324327,0.0361074416556583,0.06677524429967427,17980,103,2189,82,0.9638925583443417
LOGISTIC REGRESSION WITHOUT L2,0.3,0.3257042253521127,0.08146191105239982,0.13032758013384996,17700,383,2086,185,0.9185380889476001
LOGISTIC REGRESSION WITH L2,0.3,0.3717948717948718,0.07661822985468957,0.12705366922234393,17789,294,2097,174,0.9233817701453104
LOGISTIC REGRESSION WITHOUT L2,0.2,0.24281842818428184,0.19726992514310876,0.21768707482993196,16686,1397,1823,448,0.8027300748568912
LOGISTIC REGRESSION WITH L2,0.2,0.2589712918660287,0.1906649053280493,0.21962972356074056,16844,1239,1838,433,0.8093350946719506
LOGISTIC REGRESSION WITHOUT L2,0.15,0.19969780911609167,0.349185380889476,0.25408522909323933,14905,3178,1478,793,0.650814619110524
LOGISTIC REGRESSION WITH L2,0.15,0.20455749867514572,0.33993835314839277,0.2554177005789909,15081,3002,1499,772,0.6600616468516072
LOGISTIC REGRESSION WITHOUT L2,0.1,0.15339137912501344,0.6283575517393218,0.2465871781579402,10207,7876,844,1427,0.3716424482606781
LOGISTIC REGRESSION WITH L2,0.1,0.15464691993990126,0.6345222369000441,0.2486840969885236,10206,7877,830,1441,0.36547776309995594
LOGISTIC REGRESSION WITHOUT L2,0.05,0.11932459905127626,0.9304271246147072,0.21152209820311327,2488,15595,158,2113,0.06957287538529282
LOGISTIC REGRESSION WITH L2,0.05,0.11844257825280838,0.9564068692206077,0.2107816973167063,1917,16166,99,2172,0.043593130779392336
