feature,coefficient,abs_coefficient
num__age,0.3844974077218008,0.3844974077218008
cat__diagnosis_category_circulatory,0.3402642096499485,0.3402642096499485
cat__insulin_No,-0.30684221631567776,0.30684221631567776
cat__diagnosis_category_renal,0.30628088634453426,0.30628088634453426
cat__diagnosis_category_diabetes,-0.3000602389785504,0.3000602389785504
cat__diagnosis_category_other,-0.2682895132862863,0.2682895132862863
cat__insulin_Yes,0.25717217547943716,0.25717217547943716
num__number_of_diagnoses,0.2271357850767912,0.2271357850767912
cat__diagnosis_category_digestive,-0.22590084561029203,0.22590084561029203
num__length_of_stay,0.22454365664632797,0.22454365664632797
num__prior_inpatient_visits,0.1937933400794934,0.1937933400794934
num__prior_emergency_visits,0.16298314495863644,0.16298314495863644
num__glucose,0.16263526437541914,0.16263526437541914
num__spo2,-0.12453267980925514,0.12453267980925514
cat__diagnosis_category_respiratory,0.09803546104519512,0.09803546104519512
num__heart_rate,0.07364423792101958,0.07364423792101958
num__prior_outpatient_visits,0.07244502242854065,0.07244502242854065
num__systolic_bp,0.03220200190539423,0.03220200190539423
cat__gender_Female,-0.029997670464139814,0.029997670464139814
cat__gender_Male,-0.019672370372102448,0.019672370372102448
